country,country_code,count
AE,AE,9
AM,AM,2
AO,AO,4
AR,AR,30
AT,AT,5
AU,AU,23
AZ,AZ,6
Afghanistan,Afghanistan,1
Argentina,Argentina,89
Australia,Australia,42
BD,BD,26
BE,BE,8
BG,BG,45
BH,BH,2
BO,BO,7
BR,BR,281
BT,BT,1
BW,BW,2
BY,BY,4
Bangladesh,Bangladesh,1
Belarus,Belarus,1
Belgique,Belgique,3
Belgium,Belgium,5
Brazil,Brazil,61
Brunei,Brunei,4
CA,CA,51
CH,CH,21
CI,CI,2
CL,CL,5
CM,CM,2
CN,CN,885
CO,CO,25
CR,CR,1
CY,CY,2
CZ,CZ,7
Canada,Canada,20
China,China,513
Czech Republic,Czech Republic,4
DE,DE,207
DK,DK,2
DO,DO,4
DZ,DZ,5
EC,EC,3
EE,EE,1
EG,EG,18
ES,ES,23
ET,ET,15
Egypt,Egypt,1
FI,FI,6
FR,FR,87
France,France,580
GB,GB,418
GE,GE,6
GH,GH,4
GP,GP,1
GR,GR,3
Germany,Germany,8
HK,HK,597
HN,HN,7
HU,HU,5
Hong Kong,Hong Kong,18
Hungary,Hungary,1
ID,ID,121
IE,IE,2
IL,IL,16
IN,IN,193
IQ,IQ,9
IR,IR,29
IT,IT,29
India,India,134
Indonesia,Indonesia,10
Iran,Iran,3
Italy,Italy,1
JO,JO,2
JP,JP,114
Japan,Japan,315
KE,KE,7
KH,KH,4
KR,KR,329
KW,KW,1
KZ,KZ,23
LA,LA,2
LB,LB,1
LK,LK,3
LT,LT,16
LU,LU,4
LV,LV,5
LY,LY,1
MA,MA,8
MD,MD,1
ME,ME,1
MK,MK,3
MM,MM,3
MN,MN,4
MO,MO,2
MU,MU,1
MV,MV,1
MX,MX,27
MY,MY,33
MZ,MZ,1
Malaysia,Malaysia,1
NC,NC,2
NG,NG,32
NL,NL,355
NO,NO,7
NP,NP,2
NZ,NZ,4
Netherlands,Netherlands,2
PE,PE,9
PH,PH,30
PK,PK,25
PL,PL,30
PR,PR,1
PS,PS,1
PT,PT,6
PY,PY,5
Pakistan,Pakistan,1
Philippines,Philippines,21
QA,QA,1
RO,RO,34
RU,RU,205
Russia,Russia,12
SA,SA,2
SD,SD,1
SE,SE,56
SG,SG,208
SI,SI,1
SN,SN,1
SS,SS,1
SV,SV,2
SY,SY,1
Singapore,Singapore,47
South Korea,South Korea,31
Switzerland,Switzerland,17
TG,TG,1
TH,TH,57
TN,TN,12
TR,TR,44
TW,TW,602
TZ,TZ,2
Taiwan,Taiwan,22
Thailand,Thailand,53
UA,UA,96
UG,UG,3
US,US,1613
UZ,UZ,8
Ukraine,Ukraine,5
United Arab Emirates,United Arab Emirates,1
United Kingdom,United Kingdom,8
United States,United States,722
VE,VE,10
VN,VN,118
Vietnam,Vietnam,5
ZA,ZA,8
ZM,ZM,1
ZW,ZW,1
